gemeindename,plz,bundesland,partnergemeinde,land,kontinent,seit,form,latitude,longitude
Braunfels,35619,Hessen,Bagnols sur Céze,Frankreich,Europa,1959,p,50.5009,8.3956
Braunfels,35619,Hessen,Newbury,Großbritannien,Europa,1964,p,50.5009,8.3956
Braunfels,35619,Hessen,Kiskunfélégyházá,Ungarn,Europa,1992,p,50.5009,8.3956
Braunfels,35619,Hessen,New Braunfels,USA,Amerika,1945,p,50.5009,8.3956
Braunfels,35619,Hessen,Feltre,Italien,Europa,2000,k,50.5009,8.3956
Braunlage,38700,Niedersachsen,Ville de Touques,Frankreich,Europa,1973,p,51.7265,10.6109
Bräunlingen,78199,Baden-Württemberg,Bern,Schweiz,Europa,2000,f,47.922778,8.415213
Bräunlingen,78199,Baden-Württemberg,Burgdorf,Schweiz,Europa,2000,f,47.922778,8.415213
Bräunlingen,78199,Baden-Württemberg,Fribourg,Schweiz,Europa,2000,f,47.922778,8.415213
Bräunlingen,78199,Baden-Württemberg,Murten,Schweiz,Europa,2000,f,47.922778,8.415213
Bräunlingen,78199,Baden-Württemberg,Rheinfelden,Schweiz,Europa,2000,f,47.922778,8.415213
Bräunlingen,78199,Baden-Württemberg,Thun,Schweiz,Europa,2000,f,47.922778,8.415213
Braunsbach,74542,Baden-Württemberg,Vouille,Frankreich,Europa,1987,p,49.1992,9.7906
Braunsbach,74542,Baden-Württemberg,Horodlo,Polen,Europa,1996,k,49.1992,9.7906
Braunsbach,74542,Baden-Württemberg,Zwierzyniec,Polen,Europa,1996,k,49.1992,9.7906
Braunschweig,38100,Niedersachsen,Nimes,Frankreich,Europa,1962,p,52.2647,10.5233
Braunschweig,38100,Niedersachsen,Bath,Großbritannien,Europa,1971,p,52.2647,10.5233
Braunschweig,38100,Niedersachsen,Kiryat Tivon,Israel,Asien,1985,p,52.2647,10.5233
Braunschweig,38100,Niedersachsen,Bandung,Indonesien,Asien,1960,p,52.2647,10.5233
Braunschweig,38100,Niedersachsen,Kasan,Rußland,Europa,1988,f,52.2647,10.5233
Braunschweig,38100,Niedersachsen,Sousse,Tunesien,Afrika,1980,p,52.2647,10.5233
Braunschweig,38100,Niedersachsen,Omaha,USA,Amerika,1992,f,52.2647,10.5233
Braunschweig,38100,Niedersachsen,Zhuhai,China,Asien,2009,k,52.2647,10.5233
Brechen,65611,Hessen,Courcy,Frankreich,Europa,1976,k,50.35,8.2
Breckerfeld,58339,Nordrhein-Westfalen,Gencay,Frankreich,Europa,1972,p,51.2667,7.4667
Bredstedt,25821,Schleswig-Holstein,Nörre Rangstrup (Toftlund),Dänemark,Europa,1991,k,54.6188,8.9629
Breisach am Rhein,79206,Baden-Württemberg,Biesheim,Frankreich,Europa,1983,k,48.0261,7.5859
Breisach am Rhein,79206,Baden-Württemberg,Neuf-Brisach,Frankreich,Europa,1983,k,48.0261,7.5859
Breisach am Rhein,79206,Baden-Württemberg,Saint-Louis,Frankreich,Europa,1960,p,48.0261,7.5859
Breisach am Rhein,79206,Baden-Württemberg,Locust Valley, N.Y.,USA,Amerika,1950,48.0261,7.5859
Breisach am Rhein,79206,Baden-Württemberg,Oswiecim,Polen,Europa,2009,p,48.0261,7.5859
