"gemeindename","plz","bundesland","latitude","longitude","partnergemeinde","land","kontinent","seit","form","latitude_partner","longitude_partner"
"Auerbach i.d.OPf.","91275","Bayern","49.687989","11.603837","Laneuveville","Frankreich","Europa","1986","p","47.928974","16.203671"
"Auerbach/Vogtl.","8209","Sachsen","","","Paide","Estland","Europa","2000","p","58.8856","25.5572"
"Auerbach/Vogtl.","8209","Sachsen","","","Strzegom (Striegau)","Polen","Europa","1995","p","-9.687","124.4804"
"Auggen","79424","Baden-Württemberg","47.7897","7.5873","Châteauneuf-du-Pape","Frankreich","Europa","1976","p","50.4700265","3.3015035"
"Augsburg","86150","Bayern","48.3667","10.8833","Liberec (Reichenberg)","Tschech. Republik","Europa","2000","p","50.7671","15.0562"
"Augsburg","86150","Bayern","48.3667","10.8833","Bourges","Frankreich","Europa","1967","p","47.0833","2.4"
"Augsburg","86150","Bayern","48.3667","10.8833","Inverness","Großbritannien","Europa","1956","p","57.466189","-4.234056"
"Augsburg","86150","Bayern","48.3667","10.8833","Amagasaki","Japan","Asien","1959","p","34.73333333","135.4"
"Augsburg","86150","Bayern","48.3667","10.8833","Nagahama","Japan","Asien","1959","p","35.36666667","136.2666667"
"Augsburg","86150","Bayern","48.3667","10.8833","Dayton","USA","Amerika","1964","p","39.7589","-84.1916"
"Augsburg","86150","Bayern","48.3667","10.8833","Jinan","China","Asien","2004","p","37.204195","127.037842"
"Augsburg (Kreis) (Augsburg, Stadt)","86150","Bayern","1.288011","103.852371","Dep. Mayenne","Frankreich","Europa","2000","p","47.7008889","10.2379105"
"Aukrug","24613","Schleswig-Holstein","54.0833","9.7833","Sien","Burkina Faso","Afrika","1995","p","12.242629","-1.192588"
"Aulendorf","88326","Baden-Württemberg","47.9508","9.6374","Conches","Frankreich","Europa","1960","p","46.187371","6.174425"
"Aulendorf","88326","Baden-Württemberg","47.9508","9.6374","Langarone","Italien","Europa","1990","p","47.928974","16.203671"
"Aumühle","21521","Schleswig-Holstein","53.526903","10.377628","Mortagne sur Sevre","Frankreich","Europa","1994","p","46.992","-0.9474"
"Aumühle","21521","Schleswig-Holstein","53.526903","10.377628","Sleen","Niederlande","Europa","1968","p","52.7717","6.8028"
"Aurachtal","91086","Bayern","49.5763","10.8214","Reichenfels (Kärnten)","Österreich","Europa","1975","p","47.0017","14.7283"
"Aurich","26603","Niedersachsen","53.4692","7.4823","Appingedam","Niederlande","Europa","1989","p","53.3217","6.8583"
"Aurich (Kreis) (Aurich, Stadt)","26603","Niedersachsen","1.288011","103.852371","Alma-Ata","Kasachstan","Asien","1991","p","52.599755","8.840745"
"Babenhausen","64832","Hessen","49.9608","8.9522","Bouxviller","Frankreich","Europa","1986","p","47.928974","16.203671"
"Babenhausen","64832","Hessen","49.9608","8.9522","Budapest","Ungarn","Europa","2000","k","47.477345","19.141151"
"Bacharach","55422","Rheinland-Pfalz","50.0572","7.7695","Santenay","Frankreich","Europa","1960","p","47.5667","1.1167"
