municipality,plz,bundesland,state,latitude,longitude,municipality_place_name,partnergemeinde,land,country,kontinent,continent,seit,form,partner_latitude,partner_longitude,partner_place_name
Alfter,53347,Nordrhein-Westfalen,North Rhine-Westphalia,50.733300,7.016700,"Alfter, 53347, Nordrhein-Westfalen, Germany",Chateauneuf sur Charente,Frankreich,France,Europa,Europe,1979,p,45.598600,-0.053600,"Châteauneuf-sur-Charente, 16120, Charente, France"
Alheim,36211,Hessen,Hesse,51.033300,9.666700,"Alheim, 36211, Hessen, Germany",Zandhoven-Pulle,Belgien,Belgium,Europa,Europe,1971,p,51.209542,4.671367,"Zandhoven, Antwerpen, Belgium"
Allendorf (Eder),35108,Hessen,Hesse,51.029900,8.672300,"Allendorf (Eder), 35108, Hessen, Germany",Bonneval,Frankreich,France,Europa,Europe,1981,p,48.183100,1.385200,"Bonneval, 28800, Eure-et-Loir, France"
Allendorf (Lumda),35469,Hessen,Hesse,50.677500,8.821500,"Allendorf (Lumda), 35469, Hessen, Germany",Nouvion sur Meuse,Frankreich,France,Europa,Europe,1973,p,49.700000,4.795000,"Nouvion-sur-Meuse, 08160, Ardennes, France"
Allersberg,90584,Bayern,Bavaria,49.251300,11.236600,"Allersberg, 90584, Bayern, Germany",Saint Céré (Lot),Frankreich,France,Europa,Europe,1985,p,45.767906,4.566802,"Saint-Cry, Bessenay, 69690, Rhône, France"
Allmendingen,89604,Baden-Württemberg,Baden-Wurttemberg,48.330500,9.724200,"Allmendingen, 89604, Baden-Württemberg, Germany",Allmendigen,Schweiz,Switzerland,Europa,Europe,2000,k,46.824210,8.447794,Switzerland
Allmendingen,89604,Baden-Württemberg,Baden-Wurttemberg,48.330500,9.724200,"Allmendingen, 89604, Baden-Württemberg, Germany",Querqueville,Frankreich,France,Europa,Europe,1981,p,49.663300,-1.695300,"Querqueville, 50460, Manche, France"
Allstedt,6542,Sachsen-Anhalt,Saxony-Anhalt,51.407900,11.400700,"Allstedt, 06542, Sachsen-Anhalt, Germany",Aigneperse,Frankreich,France,Europa,Europe,2000,p,47.964359,7.307174,"Europe, Rouffach, 68250, Haut-Rhin, France"
Allstedt,6542,Sachsen-Anhalt,Saxony-Anhalt,51.407900,11.400700,"Allstedt, 06542, Sachsen-Anhalt, Germany",Vrbove (Werbau),Slow. Republik,Slovakia,Europa,Europe,2000,f,48.619700,17.722600,"Vrbové, Trnavský kraj, Slovakia"
Alpen,46519,Nordrhein-Westfalen,North Rhine-Westphalia,51.583300,6.516700,"Alpen, 46519, Nordrhein-Westfalen, Germany",Herentals,Belgien,Belgium,Europa,Europe,1987,p,51.164009,4.818718,"Herentals, Antwerpen, Belgium"
